name, job, salary, localtion, education, exp, discription
软通动力技术服务有限公司分支机构, 架构师（Python方向）, 面议, 西安-高新区, 本科及以上, 3年工作经验, 【岗位职责】 1、从事公有云安全服务、安全组件设计开发； 2、端到端交付特性，独立完成需求分析、模块设计已经软件开发和自检； 3、参与技术规划、方案设计，改进代码，提升代码质量和效率。  【岗位要求】 1、精通JAVA、Python、C/C++一种或者多种编程语言，熟悉数据库、数据结构、算法等，掌握软件工程、敏捷开发模型，熟练掌握和应用各种设计模式； 2、计算机、软件、信息安全等相关专业毕业。 3、计算机、软件、通信等相关专业毕业，本科及以上学历，2年以上开发经验。
文思海辉, Python开发工程师, 10-18万, 西安, 统招本科, 2年工作经验, 职位说明： 1、搭建系统开发环境，完成系统框架和核心代码的实现，负责解决开发过程中的技术问题； 2、负责Python技术的相关产品规划、需求、设计、开发、测试等研发工作。  任职资格： 1、计算机或相关专业毕业，3年以上开发经验； 2、熟悉Python编程、设计模式和组件技术； 3、熟悉Redis / MongoDB等NoSQL技术； 4、具备独立开发功能模块的能力； 5、逻辑思维清晰，能够独立承受工作压力。
西安逆袭网络科技有限公司, python开发工程师, 18-30万, 西安, 本科及以上, 3年工作经验, 职位描述：  1. 熟悉Python，掌握基本数据结构，熟悉标准数据库，认同Python设计理念；（编程语言） 2. 熟悉常见的Python框架，精通Tornado，flask，django优先；（服务框架） 3. 熟悉常见的数据库，熟练掌握PostgreSQL，Mongodb，Redis者优先（数据库） 4. 掌握Linux操作系统, 熟悉nginx, gunicorn； 5. 具有良好的编码习惯，文档书写习惯，优秀的团队合作和独立抗压能力，善于学习，乐于分享 6. 了解常见消息队列系统，RabbitMQ等 7、有大型管理后台及管理工具开发经验者优先
西安图迹信息科技有限公司, Python程序员, 5-7万, 西安, 本科及以上, 1年工作经验, 工作内容: 1.数据采集后台接口和计算后台作业开发。 2.维护软件使之保持可用性和稳定性。 3.和团队一起做数据进行统计、分析、挖掘，开发原型验证数学模型。 岗位要求： 1.熟悉Python语言，具备Python开发、调试经验。 2.掌握Flask、Tornado等Web框架；掌握Git的使用。 3.熟悉Python读写常见数据库的方法。 4.逻辑思维能力强，性格开朗，责任心强，工作积极主动；有良好的团队合作精神，有较强的沟通及协调能力；具备独发现问题和解决问题能力，自学能力强。 5.熟悉Python开发网络爬虫者优先；熟悉设计模式者优先；有撰写编码注释的习惯优先。
神州绿盟信息, 系统漏洞安全研究员（西安）, 12-18万, 西安-雁塔区, 本科及以上, 2年工作经验, 任职资格： 1、 本科及以上学历，2年及以上网络安全相关工作经验 2、 有Linux/Unix环境下的工作能力 3、 规范、严谨的C代码编写及调试能力 4、 至少熟练一种脚本语言（如：Python） 5、 TCP/IP及主要应用层协议的理解和分析能力 6、 对漏洞利用有一定理解和分析能力者优先 7、 爱好网络安全，并有研究和学习的兴趣 8、 具备一定的英文读写能力 工作职责： 职位工作内容简要综述：系统扫描插件研究员  工作职责： 1、 漏洞扫描插件开发工作 2、 漏洞利用或者攻击手法对应的扫描插件开发和协助测试 3、 系统插件相关反馈处理
神州绿盟信息, 工控安全研究员（西安）, 面议, 西安, 本科及以上, 3年工作经验, 职位工作内容简要综述： 1、研究工业控制系统安全相关课题； 2、承担工控安全产品技术支撑； 3、承担工控安全新产品技术预研。  岗位职责： 1、跟踪国内外工控系统安全事件； 2、研究前沿工控系统安全技术，分享研究成果； 3、通过逆向分析工控系统安全问题； 4、分析常见的工控通讯协议； 5、参与工控类新产品的预研，以及开发过程中的技术支撑。  任职要求： 1、工控软件开发与调试； 2、工控协议分析； 3、汇编语言，优先考虑工控系统汇编语言； 4、熟悉基础漏洞产生原因与利用原理； 5、linux系统的基础操作； 6、Python语言。
海尔家电产业集团-Uhome平台, 机器学习算法工程师（西安）, 面议, 西安-雁塔区, 统招本科, 3年工作经验, 岗位职责： 1、负责个性化推荐系统开发，实现相关大规模数据挖掘/机器学习算法； 2、参与设计和改进推荐引擎架构，提升在线推荐系统性能，稳定性，扩展性； 3、参与推荐策略设计，为推荐策略迭代提供高效和灵活的架构支撑； 4、跟踪互联网领域相关推荐和机器学习算法发展趋势，对前沿技术结合业务进行实验和落地；  任职要求： 1、有3年及以上的推荐系统、个性化搜索、广告引擎等相关领域较强的算法工作经验； 2、有Java，C++或Python等面向对象设计开发经验，具备较强的编码能力和扎实的数据结构和算法功底； 3、掌握运用Hadoop，Spark或MPI等开源平台和工具对大规模数据进行处理和计算； 4、熟悉常用的机器学习和数据挖掘算法，如分类，聚类，回归，协同过滤，内容过滤等，有大规模机器学习优化项目经验优先，有相关深度学习模型应用经验优先； 5、有大规模海量数据机器学习/数据挖掘/计算广告/搜索引擎相关经验优先； 6、具备良好的沟通和表达能力，有较好的产品意识。
智园软件, Python高级工程师, 16-31万, 西安, 本科及以上, 5年工作经验, 职位描述： 开发和维护公司的教育软件产品，主要基于B/S架构。 我们希望你： 有扎实的编程功底，热爱编程 有python相关技术栈开发经验，虽然在这里你将绝不会只用一种语言和技术编程 热爱且善于学习和钻研各种新技术、新语言 英语水平能够支撑自己及时获取和交流最新的技术信息 有良好的团队合作精神,有责任感,有较好的沟通能力 我们可以提供给你的是： 与国内最有经验的敏捷软件开发团队一起工作的机会，你将有机会采用最先进的技术，实践最极限的敏捷软件开发 结合领先的教育理念和技术，为改善教育行业做贡献
北京千锋互联科技, python讲师, 30-36万, 西安, 大专及以上, 经验不限, 一：岗位职责： 1、负责Python课程体系设计和完善； 2、负责Python课程爬虫、数据分析、网站开发的讲授； 3、完成领导交办的其它工作。 任职要求： 1. 至少2年以上Python编程经验； 2. 熟练运用Python语言及常用模块； 3. 熟练django等常用开发框架； 4. 熟练Mysql, oracle数据库中任何一种； 5. 熟练HTTP, Javascript, HTML。 6.熟练树莓派设备python开发 7.熟练python机器学习实战 8.精通Linux下Shell、Python两种脚本语言； 9.精通基于Linux应用程序的管理和配置，如Tomcat、Redis、Zookeeper、Jdk、Nginx、LVS、FastDFS、GFS等 分享 微信邮件
西安甄一创展网络科技有限公司, python开发, 18-36万, 西安-高新区, 统招本科, 3年工作经验, 职位描述： 1. 熟悉Python，掌握基本数据结构，熟悉标准数据库，认同Python设计理念；（编程语言） 2. 熟悉常见的Python框架，精通Tornado，flask，django优先；（服务框架） 3. 熟悉常见的数据库，熟练掌握PostgreSQL，Mongodb，Redis者优先（数据库） 4. 掌握Linux操作系统, 熟悉nginx, gunicorn； 5. 具有良好的编码习惯，文档书写习惯，优秀的团队合作和独立抗压能力，善于学习，乐于分享 6. 了解常见消息队列系统，RabbitMQ等
久耶供应链, 研发主管（python）, 10-17万, 西安-高新区, 统招本科, 5年工作经验, 1、负责参与软件项目周期的大部分工作，包括分析、设计、开发及后续部署运维等工作2、负责软件研发关键技术问题攻关、核心功能模块设计、核心代码开发； 3、负责软件系统重大bug跟进、性能优化、功能升级工作； 4、负责跟进程序员开发进度，审核程序员的设计及代码质量，确保项目进度和质量； 5、负责制定技术设计文档规范，对开发团队进行技术指导和培训；  岗位要求： 1. 本科及以上学历，计算机、软件工程、信息管理、计算机应用等理、工专业； 2. 5年以上Python开发经验, 3年以上python服务端开发经验； 3. 熟悉MVC架构，熟练掌握Python web开发框架，精通Flask或者其他Python Web开发框架者优先； 4. 具备数据库设计能力，精通掌握MySql者优先； 具备Linux环境、数据库、HTTP5 ,Redis, MongoDB等后端开发基础，有RESTful服务构架和应用经验优先 6. 熟悉Linux操作系统，熟悉Apache/Ngnix等Web Server的部署和应用； 7. 有大型网络服务开发，在高并发，高稳定性方面有经验者优先； 8. 具有优秀的团队合作和沟通协作能力，善于学习，乐于分享，能承受较大工作压力 9.带领过软件研发团队经验者优先；
Yeahmobi, 运维开发工程师【python / PHP】, 11-22万, 西安, 学历不限, 2年工作经验, 岗位职责：  1. 负责Yeahmobi运维平台和监控平台的设计和开发工作  2. 负责自动化运维平台开发.    岗位要求：  1.两年以上，具备Python或者PHP项目经验，熟练掌握Django等Web开发框架  2.熟悉Linux系统, MYSQL数据库, 有时序数据库和ELK日志分析开发经验优先.  3.具备web开发经验，熟练掌握JavaScript、HTML、JQuery、CSS相关技术  4.熟悉自动化运维工具(saltstack/ansible)的原理及使用.  5.有任务调度编排、监控系统、AWS云服务产品, CMDB系统相关开发经验者优先
文思海辉, python开发, 12-24万, 西安-高新区, 统招本科, 2年工作经验, 职责描述： 本科及以上学历, 有良好的计算机专业基础知识和扎实的编程功底 精通 Python 熟练掌握至少一门 Python web 开发框架(Django、Flask、Tornado等)； 熟悉 MySQL/PostgreSQL/Redis/MongoDB ； 熟悉 Linux 平台 优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情 加分项： 熟悉 spark/hadoop/hbase 等至少一种分布式系统 有持续集成、 docker 、机器学习、数据可视化等相关经验者优先 熟悉 web 开发优先  任职要求： 本科及以上学历, 有良好的计算机专业基础知识和扎实的编程功底 精通 Python 熟练掌握至少一门 Python web 开发框架(Django、Flask、Tornado等)； 熟悉 MySQL/PostgreSQL/Redis/MongoDB ； 熟悉 Linux 平台 优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情 加分项： 熟悉 spark/hadoop/hbase 等至少一种分布式系统 有持续集成、 docker 、机器学习、数据可视化等相关经验者优先 熟悉 web 开发优先
神州绿盟信息, 实习攻防研发工程师, 2-5万, 西安-雁塔区, 本科及以上, 经验不限, 职责描述： 漏洞自动验证的持续维护工作  任职要求： 基本要求： 1.有至少一年的python开发经验,知道python的网络编程和并发编程 2.对linux系统有基本的熟悉,使用知道linux的基本原理 3.有数据库的使用和编码经验 4.对web和系统安全有一定的了解，使用过安全工具wireshark,burpsuite,metaspoit,sqlmap,nmap 知道基本的漏洞原理，xss,sql注入，ddos攻击，java表达式注入，文件上传，命令注入 5.知道基本的http协议  加分项： 1.有自己的技术博客并且里面有大量的原创收录文章 2.有自己的github并有自己的开源项目 3.在安全论坛上面有自己提交的漏洞 4.参加过编程或者安全竞赛并取得名次 5.懂web开发或者自己搭建过web站点 6.信息安全专业，计算机专业，软件工程专业
西咸新区秦汉新城新丝路数字文化科技有限公司, 渲染技术指导（TD）, 12-18万, 西安, 本科及以上, 3年工作经验, 职责描述： 1.对渲染相关环节提供技术支持； 2.配置软件环境，安装、更新、维护后台软件与插件； 3.指导编写相应软件的渲染模版脚本，并能用脚本语言优化工作方式，提高效率； 4.开发、编写新工具或插件，辅助完成一些新技术的研发工作； 5.维护与测试商业软件； 6.与客户对接提供对接解决方案； 7.负责向上级汇报工作进展情况； 8.掌握其他经岗位培训后所必备的操作技能。 职位要求： 1.两年以上CG行业工作经验，对CG流程非常熟悉； 2.对渲染农场有深入了解，熟悉vray、anorld、mentelray等常用渲染器，能解决渲染问题； 3.熟悉3dsmax,maya等主流三维软件及插件的使用和制作流程，并能独立解决安装和使用的相关问题； 4.能够为三维制作软件编写工具或插件； 5.熟悉Mel、Python、MaxScript等脚本语言，能根据需求对制作软件进行相应的再开发； 6.熟悉Python各个类库，能够编写流程中需要的插件，并且可以熟练使用PyQt编写插件界面； 7.掌握html、js等前端开发技术； 8.了解MayaApI的开发，能够辅助完成一些新技术的研发工作； 9.有良好的沟通能力和组织管理能力，善于团队合作，有责任心； 10.有较强的解决能力，能善于主动发现问题、防范问题。
神州绿盟信息, Web开发工程师（西安）, 7-12万, 西安, 本科及以上, 2年工作经验, 主要职责： 1. 主要负责产品WEB应用层的设计与实现； 2. 必要时参与产品技术预研、产品化、维护、线上产品运维。  任职要求： 1. 五年以上研发经验； 2. 了解HTML； 3. 了解MVC开发模式，了解任意一个Web开发框架； 4. 了解PHP/Python二者之一； 5. 了解SQL语言； 6. 了解Linux基本命令  有满足下列任意一条者优先考虑： 1. 有Web安全研发经验者； 2. 擅长XTHML/DOM/Javacript/CSS者、擅长处理浏览器兼容性问题者； 3. 有互联网、移动互联网从业经验者； 4. 有复杂查询语句的调优经验、数据库调优经验者； 5. 擅长Linux环境下的Python语言编程、对Django框架熟悉者； 6. 擅长构建应用层框架、对大规模代码编程有深刻理解者。
神州绿盟信息, web开发工程师, 10-12万, 西安-高新区, 本科及以上, 2年工作经验, 岗位职责： 1. 参与产品中的开发设计工作； 2. 负责产品web开发； 3. 实现代码需要能够在大数据量、高并发的场景下有优异的性能和稳定性表现； 4. 能快速满足不断变化的业务提出的需求、应对大数据所带来的技术挑战；对业界领先的技术和平台进行研究、测试，并且能够应用在实际环境中。  岗位要求： 1. 2年以上相关工作经验； 2. 熟悉python，熟悉django（或其他python web开发框架）；如果熟悉php/java的web开发亦可； 3. 了解MVC开发模式； 4. 熟悉web前端开发，精通HTML/CSS/JavaScript等技术，对jQuery AngularJS有一定了解和使用； 5. 具备团队合作精神，积极的工作态度和较强的责任心，良好的沟通和学习能力。  优先考虑： 1. 有互联网从业背景； 2. 熟悉nginx、Redis、MongoDB、MySQL等开源软件； 3. 有过大规模性能调优经验； 4. 了解常见WEB攻击手段和防护技术。
瑞斯康达科技, 后台网站工程师, 10-12万, 西安, 统招本科, 1年工作经验, 职责描述： 1、负责资源网站的开发建设工作； 2、 负责内容的采集、维护、推荐； 3、 负责了解用户需求，收集用户反馈，分析用户行为及需求； 4、 负责资源数据库的建设与维护； 5、 负责用户数据库的建设与维护。   任职要求： 1、 大学本科以上学历 2、 熟练掌握多门主流程序设计语言（JAVA，PYTHON，GO等），具备良好的编码技巧； 3、 拥有数据库优化，服务器性能优化经验； 4、 工作有激情，具备良好的责任心、沟通技巧和团队合作精神； 5、 具备以下条件优先： l 计算机、数学等相关专业优先 l 师范类院校相关专业优先 l 有网站开发维护经验优先
神州绿盟信息, 工控安全攻防研究员（西安）, 10-14万, 西安-高新区, 统招本科, 3年工作经验, 岗位职责： 1、工控系统漏洞挖掘； 2、工控系统安全渗透测试； 3、工控安全技术预研。  岗位要求： 1、熟悉渗透测试步骤、方法、流程、熟练使用一定量渗透测试工具； 2、熟悉TCP/IP协议、路由、交换技术、主机、数据库相关产品配置及操作； 3、熟悉Linux操作系统原理，熟练使用Linux基本命令； 4、熟练掌握 C/PHP/Java/Python至少两种编程语言。  优先条件： 1、有CTF大赛经验者优先； 2、有工控现场经验值优先。
